longitude,latitude,level,time,sst
-69.96000015716552,41.750000048084416,0,2002-06-02T09:00:00Z,11.178999900817871
-69.96000015716552,41.750000048084416,0,2002-06-03T09:00:00Z,11.383000373840332
-69.96000015716552,41.750000048084416,0,2002-06-04T09:00:00Z,11.418000221252441
-69.96000015716552,41.750000048084416,0,2002-06-05T09:00:00Z,11.661999702453613
-69.96000015716552,41.750000048084416,0,2002-06-06T09:00:00Z,11.562000274658203
-69.96000015716552,41.750000048084416,0,2002-06-07T09:00:00Z,11.467000007629395
-69.96000015716552,41.750000048084416,0,2002-06-08T09:00:00Z,11.498000144958496
-69.96000015716552,41.750000048084416,0,2002-06-09T09:00:00Z,11.57800006866455
-69.96000015716552,41.750000048084416,0,2002-06-10T09:00:00Z,11.520000457763672
-69.96000015716552,41.750000048084416,0,2002-06-11T09:00:00Z,11.376999855041504
-69.96000015716552,41.750000048084416,0,2002-06-12T09:00:00Z,11.765999794006348
-69.96000015716552,41.750000048084416,0,2002-06-13T09:00:00Z,11.506999969482422
-69.96000015716552,41.750000048084416,0,2002-06-14T09:00:00Z,11.529999732971191
-69.96000015716552,41.750000048084416,0,2002-06-15T09:00:00Z,11.407999992370605
-69.96000015716552,41.750000048084416,0,2002-06-16T09:00:00Z,12.265000343322754
-69.96000015716552,41.750000048084416,0,2002-06-17T09:00:00Z,12.527999877929688
-69.96000015716552,41.750000048084416,0,2002-06-18T09:00:00Z,12.831000328063965
-69.96000015716552,41.750000048084416,0,2002-06-19T09:00:00Z,13.152000427246094
-69.96000015716552,41.750000048084416,0,2002-06-20T09:00:00Z,14.720999717712402
-69.96000015716552,41.750000048084416,0,2002-06-21T09:00:00Z,14.829000473022461
-69.96000015716552,41.750000048084416,0,2002-06-22T09:00:00Z,14.993000030517578
-69.96000015716552,41.750000048084416,0,2002-06-23T09:00:00Z,14.859999656677246
-69.96000015716552,41.750000048084416,0,2002-06-24T09:00:00Z,15.128000259399414
-69.96000015716552,41.750000048084416,0,2002-06-25T09:00:00Z,15.263999938964844
-69.96000015716552,41.750000048084416,0,2002-06-26T09:00:00Z,15.128000259399414
-69.96000015716552,41.750000048084416,0,2002-06-27T09:00:00Z,14.965999603271484
-69.96000015716552,41.750000048084416,0,2002-06-28T09:00:00Z,15.965999603271484
-69.96000015716552,41.750000048084416,0,2002-06-29T09:00:00Z,16.101999282836914
-69.96000015716552,41.750000048084416,0,2002-06-30T09:00:00Z,16.530000686645508
-69.96000015716552,41.750000048084416,0,2002-07-01T09:00:00Z,17.1299991607666
-69.96000015716552,41.750000048084416,0,2002-07-02T09:00:00Z,18.11400032043457
-69.96000015716552,41.750000048084416,0,2002-07-03T09:00:00Z,18.94499969482422
-69.96000015716552,41.750000048084416,0,2002-07-04T09:00:00Z,19.371000289916992
-69.96000015716552,41.750000048084416,0,2002-07-05T09:00:00Z,19.503000259399414
-69.96000015716552,41.750000048084416,0,2002-07-06T09:00:00Z,19.652999877929688
-69.96000015716552,41.750000048084416,0,2002-07-07T09:00:00Z,19.336999893188477
-69.96000015716552,41.750000048084416,0,2002-07-08T09:00:00Z,19.301000595092773
-69.96000015716552,41.750000048084416,0,2002-07-09T09:00:00Z,18.97800064086914
-69.96000015716552,41.750000048084416,0,2002-07-10T09:00:00Z,18.886999130249023
-69.96000015716552,41.750000048084416,0,2002-07-11T09:00:00Z,18.597999572753906
-69.96000015716552,41.750000048084416,0,2002-07-12T09:00:00Z,18.533000946044922
-69.96000015716552,41.750000048084416,0,2002-07-13T09:00:00Z,18.516000747680664
-69.96000015716552,41.750000048084416,0,2002-07-14T09:00:00Z,18.621000289916992
-69.96000015716552,41.750000048084416,0,2002-07-15T09:00:00Z,18.384000778198242
-69.96000015716552,41.750000048084416,0,2002-07-16T09:00:00Z,18.53499984741211
-69.96000015716552,41.750000048084416,0,2002-07-17T09:00:00Z,18.624000549316406
-69.96000015716552,41.750000048084416,0,2002-07-18T09:00:00Z,17.167999267578125
-69.96000015716552,41.750000048084416,0,2002-07-19T09:00:00Z,18.55500030517578
-69.96000015716552,41.750000048084416,0,2002-07-20T09:00:00Z,18.273000717163086
-69.96000015716552,41.750000048084416,0,2002-07-21T09:00:00Z,18.10700035095215
-69.96000015716552,41.750000048084416,0,2002-07-22T09:00:00Z,17.926000595092773
-69.96000015716552,41.750000048084416,0,2002-07-23T09:00:00Z,17.860000610351562
-69.96000015716552,41.750000048084416,0,2002-07-24T09:00:00Z,17.4689998626709
-69.96000015716552,41.750000048084416,0,2002-07-25T09:00:00Z,17.610000610351562
-69.96000015716552,41.750000048084416,0,2002-07-26T09:00:00Z,17.761999130249023
-69.96000015716552,41.750000048084416,0,2002-07-27T09:00:00Z,17.82699966430664
-69.96000015716552,41.750000048084416,0,2002-07-28T09:00:00Z,18.452999114990234
-69.96000015716552,41.750000048084416,0,2002-07-29T09:00:00Z,19.19499969482422
-69.96000015716552,41.750000048084416,0,2002-07-30T09:00:00Z,19.229000091552734
-69.96000015716552,41.750000048084416,0,2002-07-31T09:00:00Z,19.104000091552734
-69.96000015716552,41.750000048084416,0,2002-08-01T09:00:00Z,19.180999755859375
-69.96000015716552,41.750000048084416,0,2002-08-02T09:00:00Z,19.094999313354492
-69.96000015716552,41.750000048084416,0,2002-08-03T09:00:00Z,19.07699966430664
-69.96000015716552,41.750000048084416,0,2002-08-04T09:00:00Z,19.264999389648438
-69.96000015716552,41.750000048084416,0,2002-08-05T09:00:00Z,19.5
-69.96000015716552,41.750000048084416,0,2002-08-06T09:00:00Z,19.687999725341797
-69.96000015716552,41.750000048084416,0,2002-08-07T09:00:00Z,19.70199966430664
-69.96000015716552,41.750000048084416,0,2002-08-08T09:00:00Z,19.658000946044922
-69.96000015716552,41.750000048084416,0,2002-08-09T09:00:00Z,19.350000381469727
-69.96000015716552,41.750000048084416,0,2002-08-10T09:00:00Z,19.701000213623047
-69.96000015716552,41.750000048084416,0,2002-08-11T09:00:00Z,19.974000930786133
-69.96000015716552,41.750000048084416,0,2002-08-12T09:00:00Z,20.954999923706055
-69.96000015716552,41.750000048084416,0,2002-08-13T09:00:00Z,21.209999084472656
-69.96000015716552,41.750000048084416,0,2002-08-14T09:00:00Z,21.19099998474121
-69.96000015716552,41.750000048084416,0,2002-08-15T09:00:00Z,20.98200035095215
-69.96000015716552,41.750000048084416,0,2002-08-16T09:00:00Z,21.540000915527344
-69.96000015716552,41.750000048084416,0,2002-08-17T09:00:00Z,21.167999267578125
-69.96000015716552,41.750000048084416,0,2002-08-18T09:00:00Z,20.79199981689453
-69.96000015716552,41.750000048084416,0,2002-08-19T09:00:00Z,20.795000076293945
-69.96000015716552,41.750000048084416,0,2002-08-20T09:00:00Z,20.236000061035156
-69.96000015716552,41.750000048084416,0,2002-08-21T09:00:00Z,20.125
-69.96000015716552,41.750000048084416,0,2002-08-22T09:00:00Z,20.256999969482422
-69.96000015716552,41.750000048084416,0,2002-08-23T09:00:00Z,20.33099937438965
-69.96000015716552,41.750000048084416,0,2002-08-24T09:00:00Z,18.86400032043457
-69.96000015716552,41.750000048084416,0,2002-08-25T09:00:00Z,18.726999282836914
-69.96000015716552,41.750000048084416,0,2002-08-26T09:00:00Z,18.76099967956543
-69.96000015716552,41.750000048084416,0,2002-08-27T09:00:00Z,18.77199935913086
-69.96000015716552,41.750000048084416,0,2002-08-28T09:00:00Z,18.860000610351562
-69.96000015716552,41.750000048084416,0,2002-08-29T09:00:00Z,18.577999114990234
-69.96000015716552,41.750000048084416,0,2002-08-30T09:00:00Z,17.684999465942383
-69.96000015716552,41.750000048084416,0,2002-08-31T09:00:00Z,17.78700065612793
-69.96000015716552,41.750000048084416,0,2002-09-01T09:00:00Z,17.697999954223633
-69.96000015716552,41.750000048084416,0,2002-09-02T09:00:00Z,18.232999801635742
-69.96000015716552,41.750000048084416,0,2002-09-03T09:00:00Z,18.996000289916992
-69.96000015716552,41.750000048084416,0,2002-09-04T09:00:00Z,18.915000915527344
-69.96000015716552,41.750000048084416,0,2002-09-05T09:00:00Z,19.0049991607666
-69.96000015716552,41.750000048084416,0,2002-09-06T09:00:00Z,19.097000122070312
-69.96000015716552,41.750000048084416,0,2002-09-07T09:00:00Z,18.947999954223633
-69.96000015716552,41.750000048084416,0,2002-09-08T09:00:00Z,18.812000274658203
-69.96000015716552,41.750000048084416,0,2002-09-09T09:00:00Z,18.759000778198242
-69.96000015716552,41.750000048084416,0,2002-09-10T09:00:00Z,18.246999740600586
-69.96000015716552,41.750000048084416,0,2002-09-11T09:00:00Z,18.083999633789062
-69.96000015716552,41.750000048084416,0,2002-09-12T09:00:00Z,17.76099967956543
-69.96000015716552,41.750000048084416,0,2002-09-13T09:00:00Z,17.399999618530273
